interval,n
2022-04-01,86
2022-04-02,104
2022-04-03,97
2022-04-04,86
2022-04-05,88
2022-04-06,74
2022-04-07,67
2022-04-08,62
2022-04-09,47
2022-04-10,32
2022-04-11,60
2022-04-12,53
2022-04-13,43
2022-04-14,49
2022-04-15,30
2022-04-16,33
2022-04-17,48
2022-04-18,38
2022-04-19,39
2022-04-20,37
