Entity,Code,Day,Number of parameters,Domain
CoAtNet,,2021-06-09,2440000000,Vision
CoCa,,2022-06-14,2100000000,Vision
CoEdiT-xxl,,2023-05-17,11000000000,Language
CoRe,,2023-12-29,12400000000,Other
CodeT5+,,2023-05-20,16000000000,Language
CodeT5-base,,2021-11-01,220000000,Language
CodeT5-large,,2022-07-05,770000000,Language
Codex,,2021-07-07,12000000000,Language
CogVLM,,2023-11-06,17000000000,Other
CogVideo,,2022-05-29,9000000000,Multimodal
CogView,,2021-05-26,4000000000,Image generation
Cognitron,,1975-09-01,,Other
Cohere Embed,,2023-11-02,,Language
ConSERT,,2021-05-25,345000000,Language
Conditional probability machines,,1956-07-01,,Other
Conformer,,2020-05-16,118800000,Speech
Conformer + Wav2vec 2.0 + Noisy Student,,2020-10-20,1000000000,Speech
Constituency-Tree LSTM,,2015-02-28,205190,Language
Context-dependent RNN,,2012-07-27,,Language
ContextNet,,2020-05-07,112700000,Speech
ContextNet + Noisy Student,,2020-01-19,,Speech
Continuous speech recognition by statistical methods,,1976-04-30,,Speech
Contriever,,2021-12-16,110000000,Language
Conv-DBN,,2009-06-14,,Vision
ConvNet similarity metric,,2005-06-20,,Vision
Convolutional Pose Machines,,2016-01-30,,Vision
Cross-Lingual POS Tagger,,2011-06-19,,Language
Cross-lingual alignment,,2019-04-04,,Language
Culturome,,2010-12-16,,Language
Cutout-regularized net,,2017-08-15,,Vision
DALL-E,,2021-01-05,12000000000,Image generation
DALL·E 2,,2022-04-06,3500000000,Image generation
DALL·E 3,,2023-10-19,,Image generation
DANet,,2019-04-21,,Vision
DARTS,,2018-06-24,33000000,Language
DBLSTM,,2013-12-08,29900000,Speech
DCN+,,2017-10-31,,Language
DD-PPO,,2019-12-19,,Other
DDPM-IP (CelebA),,2023-01-27,295000000,Image generation
DETR,,2020-05-26,60000000,Vision
DINOv2,,2023-04-14,1140000000,Vision
DITTO,,2022-06-06,750000000,Language
DImensionality Reduction,,2006-07-18,3800000,Vision
DLRM-2020,,2019-05-31,100000000000,Other
DMN,,2016-06-20,,Language
DNABERT,,2021-08-15,110000000,Biology
DOT(S)-RNN,,2013-12-20,6160000,Language
DQN,,2013-12-19,836096,Games
DQN-2015,,2015-02-25,1693362,Games
DeBERTa,,2021-06-10,1500000000,Language
DeBERTaV3-large + KEAR,,2021-12-06,418000000,Language
DeLight,,2020-08-03,99000000,Language
Decision tree (classification),,2001-12-08,120000000,Vision
Deconvolutional Network,,2010-06-13,,Vision
Decoupled weight decay regularization,,2019-01-04,36500000,Vision
Deep Belief Nets,,2006-07-18,1600000,Vision
Deep Boltzmann Machines,,2009-04-16,,Other
Deep Deterministic Policy Gradients,,2015-09-09,,Other
Deep LSTM for video classification,,2015-05-01,,Other
Deep Multitask NLP Network,,2008-07-05,1500000,Language
Deep rectifier networks,,2011-04-13,,Other
DeepFace,,2014-06-23,,Vision
DeepLab,,2014-12-22,,Vision
DeepLab (2017),,2017-04-27,,Vision
DeepLabV3,,2017-06-17,,Vision
DeepLabV3+,,2018-02-07,,Vision
DeepNash,,2022-12-01,,Games
DeepNet,,2022-03-01,3200000000,Language
DeepSpeech2 (English),,2015-12-08,38000000,Speech
DeepStack,,2017-01-06,2500000,Games
Deeply-recursive ConvNet,,2016-11-11,,Other
Deeply-supervised nets,,2014-09-18,,Vision
Denoising Autoencoders,,2008-07-05,,Other
Denoising Diffusion Probabilistic Models (LSUN Bedroom),,2021-06-11,256000000,Vision
DenseNet-264,,2016-08-25,34000000,Vision
DensePhrases,,2020-12-23,,Language
Detic,,2022-01-07,88000000,Vision
DiT-XL/2,,2023-03-02,675000000,Image generation
DiT-XL/2 + CADS,,2023-10-26,675000000,Image generation
DiT-XL/2 + Discriminator Guidance,,2022-11-28,,Image generation
Diabetic Retinopathy Detection Net,,2016-12-13,,Vision
DiffDock,,2022-10-04,20240000,Biology
Differentiable neural computer,,2016-10-12,,Other
Diffractive Deep Neural Network,,2018-04-14,8000000000,Vision
Diffusion-GAN,,2022-06-05,,Image generation
Diplodocus,,2022-10-11,,Games
Discriminator Guidance,,2022-11-28,,Image generation
DistilBERT,,2019-10-02,66000000,Language
DnCNN,,2017-02-01,,Other
Domain Adaptation,,2011-11-06,15260,Vision
DrLIM,,2006-06-17,37097,Other
Dropout (2014),,2014-06-01,,Other
Dropout (CIFAR),,2012-06-03,,Vision
Dropout (ImageNet),,2012-06-03,,Vision
Dropout (MNIST),,2012-06-03,5592010,Vision
Dropout (TIMIT),,2012-06-03,48840184,Speech
Dropout-LSTM+Noise(Bernoulli) (WT2),,2018-05-03,51000000,Language
EDSR,,2017-06-10,,Other
EI-REHN-1000D,,2017-08-14,19000000,Language
ELECTRA,,2020-03-23,335000000,Language
ELMo,,2018-02-01,94000000,Language
EMDR,,2021-06-09,440000000,Language
ENAS,,2018-02-09,24000000,Language
EN^2AS with performance reward,,2019-07-22,23000000,Language
ERNIE 3.0,,2021-07-05,10000000000,Language
ERNIE 3.0 Titan,,2021-12-23,260000000000,Language
ERNIE 3.5,,2023-06-27,,Language
ERNIE 4.0,,2023-10-17,,Multimodal
ERNIE-Doc (247M),,2020-12-31,247000000,Language
ERNIE-GEN (large),,2020-08-06,340000000,Language
