Entity,Code,Day,Number of parameters,Domain
Qwen-Audio-Chat,,2023-11-14,8460000000,Other
Qwen-VL,,2023-08-24,9600000000,Multimodal
Qwen-VL-Max,,2024-01-25,,Multimodal
Qwen1.5 72B,,2024-02-04,72000000000,Language
R-CNN (T-net),,2013-11-11,69003870,Vision
R-FCN,,2016-06-21,,Vision
RBM Image Classifier,,2009-04-08,80000000,Vision
RBM-tuning,,2010-08-02,,Other
RCAN,,2018-07-08,,Other
REINFORCE in Stochastic Connectionism,,1992-05-01,,Other
RETRO-7B,,2022-02-07,7500000000,Language
RNN 500/10 + RT09 LM (NIST RT05),,2010-09-26,5269500,Speech
RNN for 1B words,,2013-12-11,20000000000,Language
RNN+LDA+KN5+cache,,2012-12-01,9000000,Language
RNN+weight noise+dynamic eval,,2013-08-04,54000000,Language
RNN-SpeedUp,,2011-05-22,,Language
RNN-WER,,2014-06-22,26500000,Speech
RNNsearch-50*,,2014-09-01,,Language
RT-1,,2022-12-13,35000000,Other
RT-2,,2023-07-28,55000000000,Other
RT-Trajectory,,2023-11-03,,Other
Random Decision Forests,,1995-08-14,,Other
Rational DQN Average,,2021-02-18,1683456,Games
ReLU (LFW),,2010-06-15,,Vision
ReLU (NORB),,2010-06-15,16210006,Vision
Reading Twice for NLU,,2017-06-08,,Language
Recursive sentiment autoencoder,,2011-07-01,,Language
RefineNet,,2016-11-20,,Vision
Refined Part Pooling,,2018-01-09,,Vision
Regularized SVD for Collaborative Filtering,,2007-08-12,,Other
Relational Memory Core,,2018-06-05,,Language
ResNeXt-101 32x48d,,2018-05-02,829000000,Vision
ResNeXt-101 Billion-scale,,2019-05-02,193000000,Vision
ResNeXt-50,,2016-11-16,25000000,Vision
ResNet-1001,,2016-09-17,10200000,Vision
ResNet-110 (CIFAR-10),,2015-12-10,1700000,Vision
ResNet-152 (ImageNet),,2015-12-10,60000000,Vision
ResNet-200,,2016-09-17,,Vision
ResNet-50 Billion-scale,,2019-05-02,25000000,Vision
Residual Dense Network,,2018-02-24,,Other
Restricted Bolzmann machines,,2007-06-20,,Other
RetinaNet-R101,,2017-08-07,53000000,Vision
RetinaNet-R50,,2017-08-07,34000000,Vision
Retrieval-Augmented Generator,,2020-05-22,626000000,Language
RoBERTa Large,,2019-07-01,355000000,Language
RoboCat,,2023-06-20,1180000000,Other
Robot Parkour,,2023-09-12,500000,Other
Rotation,,2018-03-21,86000000,Other
Routing Transformer,,2020-03-12,79500000,Language
S-Norm,,2017-10-29,,Language
S4,,2021-10-31,249000000,Language
SACHS,,2005-04-22,178,Biology
SEER,,2021-07-29,1300000000,Vision
SENet (ImageNet),,2017-09-05,28100000,Vision
SNARC,,1952-01-08,40,Other
SPHINX (Llama 2 13B),,2023-11-13,13000000000,Other
SPIDER2,,2016-10-28,116112,Biology
SPN-4+KN5,,2014-01-01,5000000,Language
SPPNet,,2014-06-18,,Vision
SRGAN,,2017-05-25,,Other
SRN-Encoded Grammatical Structures,,1991-09-01,,Language
SRU++ Large,,2021-02-24,234000000,Language
ST-MoE,,2022-02-17,269000000000,Language
SVD in recommender systems,,2000-07-14,,Other
SVM for face detection,,1997-06-17,,Vision
Samuel Neural Checkers,,1959-07-01,16,Games
Sandwich Transformer,,2019-11-10,209000000,Language
SciBERT,,2019-03-26,110000000,Language
SeamlessM4T,,2023-12-08,2300000000,Other
Search-Proven Best LSTM,,2015-07-06,20000000,Language
SearchFusion,,2013-04-02,,Vision
"Segatron-XL large, M=384 + HCP",,2022-03-21,257000000,Language
Segment Anything Model,,2023-04-05,636000000,Vision
Self Organizing System,,1955-03-01,225,Other
SemExp,,2020-07-02,,Other
SemVec,,2013-06-09,,Language
Semantic Hashing,,2008-12-10,2600000,Language
Semi-Supervised Embedding for DL,,2008-07-05,,Other
Seq2Seq LSTM,,2014-09-10,1920000000,Language
Sequence-based pattern recognition,,1955-03-01,,Vision
Show-1,,2023-09-27,,Other
ShuffleNet v1,,2017-07-03,2430000,Vision
ShuffleNet v2,,2018-06-30,2280000,Vision
SimCLR,,2020-02-13,375000000,Vision
SimCLRv2,,2020-10-26,795000000,Vision
SimCSE,,2022-05-18,,Language
SimpleNet,,2016-08-22,5480000,Vision
Skywork-13B,,2023-10-30,13000000000,Language
SmooCT,,2014-07-01,,Games
Social and content-based classification,,1998-07-01,,Other
Sparse Energy-Based Model,,2006-12-04,,Vision
Sparse Non-negative Matrix (SNM) estimation,,2014-12-03,62000000000,Language
Sparse all-MLP,,2022-04-14,9400000000,Language
Sparse coding model for V1 receptive fields,,1997-12-01,,Vision
Sparse digit recognition SVM,,2008-11-19,,Vision
Spatial Pyramid Matching,,2006-06-17,,Vision
Spatially-Sparse CNN,,2014-09-23,,Vision
Spatiotemporal fusion ConvNet,,2016-06-01,,Other
SpecAugment,,2019-04-18,,Language
Spectrally Normalized GAN,,2018-02-16,,Image generation
SqueezeNet,,2016-02-24,1200000,Vision
Stable Diffusion (LDM-KL-8-G),,2022-04-13,1450000000,Image generation
Stable Diffusion XL,,2023-07-04,3400000000,Image generation
Stacked Denoising Autoencoders,,2010-01-03,,Other
Stacked hourglass network,,2016-09-17,,Vision
Stanley (DARPA Grand Challenge 2),,2006-01-01,,Other
StarCoder,,2023-05-09,15500000000,Language
StarGAN v2,,2019-12-04,,Vision
Statement Curriculum Learning,,2022-03-02,,Language
Statistical Shape Constellations,,2003-01-01,,Vision
Super-vector coding,,2010-01-01,,Vision
Support Vector Machines,,1995-09-01,100000000,Vision
Swift,,2023-08-30,21124,Other
Swin Transformer V2,,2021-11-18,3000000000,Other
Switch,,2021-01-11,1600000000000,Language
Symmetric Residual Encoder-Decoder Net,,2016-03-30,,Other
System 11,,1996-06-18,6452,Vision
T0-XXL,,2021-10-15,11000000000,Language
T5-11B,,2019-10-23,11000000000,Language
T5-3B,,2019-10-23,2800000000,Language
TCN (P-MNIST),,2018-02-15,42000,Language
TD(0),,1977-08-01,,Other
TD-Gammon,,1992-05-01,25000,Games
TFE SVM,,2006-02-02,,Vision
TSN,,2016-09-17,,Other
TaLK Convolution,,2020-02-08,240000000,Language
Tacotron 2,,2017-12-19,,Speech
Tagging via Viterbi Decoding,,2002-06-01,,Language
Taiyi-Stable Diffusion,,2022-10-31,1000000000,Image generation
Temporal Convolutional Attention-based Network(TCAN) (WT2),,2020-02-28,33000000,Language
Tensor-Transformer(1core)+PN (WT103),,2020-03-17,85300000,Language
TensorReasoner,,2013-12-01,,Language
Tensorized Transformer (257M),,2019-06-24,257000000,Language
Textual Imager,,2013-01-16,,Vision
Theseus,,1950-07-02,40,Other
Theseus 6/768,,2020-02-07,66000000,Language
Thumbs Up?,,2002-05-28,,Language
Time-delay neural networks,,1989-03-03,,Speech
TrOCR,,2021-09-21,558000000,Vision
Trajectory-pooled conv nets,,2015-05-19,9106245,Other
TranceptEve,,2022-12-10,,Biology
Tranception,,2022-05-27,700000000,Biology
TransE,,2013-12-05,942000000,Language
Transformer,,2017-06-12,213000000,Language
Transformer (Adaptive Input Embeddings),,2018-09-28,247000000,Language
Transformer + Simple Recurrent Unit,,2018-09-17,90000000,Language
Transformer - LibriVox + Decoding/Rescoring,,2019-11-19,296000000,Speech
Transformer ELMo,,2019-01-01,56000000,Language
Transformer local-attention (NesT-B),,2021-05-26,90100000,Vision
Transformer-XL + RMS dynamic eval,,2019-04-17,257000000,Language
Transformer-XL DeFINE (141M),,2019-11-27,141000000,Language
Transformer-XL Large,,2019-01-09,257000000,Language
Transformer-XL Large + Phrase Induction,,2019-06-04,257000000,Language
TransformerXL + spectrum control,,2020-03-11,151000000,Language
TrellisNet,,2018-10-15,180000000,Language
TriNet,,2017-11-21,,Other
True-Regularization+Finetune+Dynamic-Eval,,2019-04-08,7000000,Language
Turing-NLG,,2020-02-13,17000000000,Language
Two-stream ConvNets for action recognition,,2014-06-09,,Other
U-PaLM (540B),,2022-10-20,540000000000,Language
UDSMProt,,2019-09-04,28303800,Biology
UL2,,2022-05-10,20000000000,Language
ULM-FiT,,2018-01-18,,Language
UnifiedQA,,2020-05-02,11000000000,Language
Universal approximation via Feedforward Networks,,1989-03-09,,Other
Unsupervised High-level Feature Learner,,2012-07-12,1000000000,Vision
Unsupervised Scale-Invariant Learning,,2003-06-18,451,Vision
VALL-E,,2023-01-05,353000000,Other
VD-LSTM+REAL Large,,2016-11-04,51000000,Language
VD-RHN,,2016-07-12,32000000,Language
VGG16,,2014-09-04,138000000,Vision
VGG19,,2014-09-04,144000000,Vision
VQGAN + CLIP,,2020-12-17,,Image generation
"Variational (untied weights, MC) LSTM (Large)",,2015-12-16,66000000,Language
ViT + DINO,,2021-04-29,85000000,Vision
ViT-22B,,2023-02-10,21743000000,Vision
ViT-Base/32,,2020-10-22,86000000,Vision
ViT-G (model soup),,2022-03-10,1843000000,Vision
ViT-G/14,,2021-06-08,1843000000,Vision
ViT-G/14 (LiT),,2021-11-15,3005000000,Vision
ViT-Huge/14,,2020-10-22,632000000,Vision
Vicuna-13B,,2023-03-30,13000000000,Language
VideoMAE V2,,2023-03-29,1000000000,Other
Visualizing CNNs,,2013-11-12,,Vision
Volcano 13B,,2023-11-13,13000000000,Language
W2v-BERT,,2021-08-07,1000000000,Speech
WGAN-GP,,2017-03-31,,Image generation
Walking Minotaur robot,,2019-06-19,,Other
WaveNet,,2016-09-12,,Speech
WeNet (Penn Treebank),,2019-04-08,23000000,Language
Whisper,,2022-09-21,1550000000,Speech
Wide & Deep,,2016-06-24,,Other
Wide Residual Network,,2016-09-19,,Vision
WizardCoder-15.5B,,2023-06-14,15500000000,Language
WizardLM-7B,,2023-04-24,6700000000,Language
Word Representations,,2010-06-01,,Language
Word2Vec (large),,2013-10-16,692000000,Language
Word2Vec (small),,2013-10-16,207600000,Language
XGLM,,2021-12-20,7500000000,Language
XGLM-7.5B,,2021-12-20,7500000000,Language
XGen-7B,,2023-09-07,6700000000,Language
XLM,,2019-06-01,665000000,Language
XLM-RoBERTa,,2019-11-05,550000000,Language
XLMR-XXL,,2021-08-17,10700000000,Language
XLNet,,2019-06-01,360268800,Language
Xception,,2016-10-07,22855952,Vision
YOLO,,2015-06-08,271684800,Vision
YOLOX-X,,2021-08-06,99100000,Vision
YOLOv2,,2016-12-25,51000000,Vision
YOLOv3,,2018-04-08,56933216,Vision
Yi-34B,,2023-11-02,34000000000,Language
YouTube Video Recommendation System,,2010-09-26,,Other
Youtube recommendation model,,2016-09-15,,Other
Yuan 1.0,,2021-10-12,245730000000,Language
Zidong Taichu,,2021-08-11,100000000000,Multimodal
Zip CNN,,1989-12-01,9760,Vision
Zoneout + Variational LSTM (WT2),,2016-09-26,21000000,Language
aLSTM(depth-2)+RecurrentPolicy (WT2),,2018-05-22,32000000,Language
base LM+GNN+kNN,,2021-10-17,274000000,Language
data2vec (language),,2022-01-20,705134600,Language
data2vec (speech),,2022-01-20,705134600,Speech
data2vec (vision),,2022-01-20,705134600,Vision
eDiff-I,,2022-11-02,9100000000,Image generation
fastText,,2016-07-06,,Language
genCNN + dyn eval,,2015-03-17,8000000,Language
iGPT-L,,2020-06-17,1362000000,Other
iGPT-XL,,2020-06-17,6801000000,Other
mPLUG-Owl2,,2023-11-07,7120000000,Other
mT0-13B,,2022-11-03,13000000000,Language
mT5-XXL,,2020-10-20,13000000000,Language
top-down frozen classifier,,2021-02-09,,Language
wave2vec 2.0 LARGE,,2020-10-22,317000000,Speech
xTrimoPGLM -100B,,2023-07-06,1820000,Biology
λ-WASP,,2007-06-01,,Language
