season,episode,rating,reviewer_profile_id,review_date
5,7,1,ur211733180,2026-01-02
5,7,1,ur212070368,2026-01-02
5,7,1,ur139179847,2026-01-02
5,7,1,ur212120586,2026-01-02
5,7,1,ur123751237,2026-01-01
5,7,1,ur212126092,2026-01-01
5,7,1,ur212114386,2026-01-01
5,7,1,ur212116520,2026-01-01
5,7,1,ur180215707,2026-01-01
5,7,1,ur123066923,2026-01-01
5,7,1,ur212105646,2026-01-01
5,7,1,ur212107099,2026-01-01
5,7,1,ur198888906,2026-01-01
5,7,1,ur22546469,2026-01-01
5,7,1,ur209429807,2026-01-01
5,7,1,ur118486210,2025-12-31
5,7,1,ur212093423,2025-12-31
5,7,1,ur212094997,2025-12-31
5,7,1,ur212045296,2025-12-31
5,7,1,ur128444575,2025-12-31
5,7,1,ur173654854,2025-12-31
5,7,1,ur88223676,2025-12-31
5,7,1,ur40909081,2025-12-31
5,7,1,ur212090139,2025-12-31
5,7,1,ur149404511,2025-12-31
5,7,1,ur212086795,2025-12-31
5,7,1,ur212026361,2025-12-31
5,7,1,ur14520893,2025-12-31
5,7,1,ur196148391,2025-12-31
5,7,1,ur169145899,2025-12-31
5,7,1,ur40724140,2025-12-31
5,7,1,ur212083207,2025-12-31
5,7,1,ur212081136,2025-12-31
5,7,1,ur212081066,2025-12-31
5,7,1,ur212080943,2025-12-31
5,7,1,ur166734609,2025-12-31
5,7,1,ur49211068,2025-12-31
5,7,1,ur210451369,2025-12-31
5,7,1,ur19690070,2025-12-31
5,7,1,ur211200045,2025-12-31
5,7,1,ur212076687,2025-12-30
5,7,1,ur212006644,2025-12-30
5,7,1,ur127790577,2025-12-30
5,7,1,ur212076142,2025-12-30
5,7,1,ur203277530,2025-12-30
5,7,1,ur88809422,2025-12-30
5,7,1,ur156112089,2025-12-30
5,7,1,ur209628567,2025-12-30
5,7,1,ur34247321,2025-12-30
5,7,1,ur177093844,2025-12-30
5,7,1,ur41362428,2025-12-30
5,7,1,ur199809967,2025-12-30
5,7,1,ur185573102,2025-12-30
5,7,1,ur192211346,2025-12-30
5,7,1,ur83239210,2025-12-30
5,7,1,ur156923652,2025-12-30
5,7,1,ur8109197,2025-12-30
5,7,1,ur212067240,2025-12-30
5,7,1,ur212064403,2025-12-30
5,7,1,ur212059699,2025-12-30
5,7,1,ur80977172,2025-12-30
5,7,1,ur43934139,2025-12-30
5,7,1,ur212060726,2025-12-30
5,7,1,ur212062309,2025-12-30
5,7,1,ur183330826,2025-12-30
5,7,1,ur90923950,2025-12-30
5,7,1,ur78113956,2025-12-30
5,7,1,ur92525333,2025-12-30
5,7,1,ur206523223,2025-12-30
5,7,1,ur152136200,2025-12-30
5,7,1,ur212061472,2025-12-30
5,7,1,ur212059546,2025-12-30
5,7,1,ur212060506,2025-12-30
5,7,1,ur52177039,2025-12-30
5,7,1,ur212060476,2025-12-30
5,7,1,ur87706510,2025-12-30
5,7,1,ur20069486,2025-12-30
5,7,1,ur212060363,2025-12-30
5,7,1,ur212044246,2025-12-30
5,7,1,ur186232572,2025-12-30
5,7,1,ur23456089,2025-12-30
5,7,1,ur118965747,2025-12-30
5,7,1,ur212059619,2025-12-30
5,7,1,ur212057196,2025-12-30
5,7,1,ur212056696,2025-12-30
5,7,1,ur69765004,2025-12-30
5,7,1,ur199217847,2025-12-30
5,7,1,ur212058242,2025-12-30
5,7,1,ur198708073,2025-12-30
5,7,1,ur84008297,2025-12-30
5,7,1,ur191078257,2025-12-30
5,7,1,ur201274774,2025-12-30
5,7,1,ur9374053,2025-12-30
5,7,1,ur212054275,2025-12-30
